sample,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies,body_reconstructions
266,4,2,256,314,100,100,0
267,4,2,256,314,100,100,0
268,4,2,256,314,100,100,0
269,4,2,256,314,100,100,0
270,4,2,256,314,100,100,0
271,4,2,256,314,100,100,0
272,4,2,256,314,100,100,0
273,4,2,256,314,100,100,0
274,4,2,256,314,100,100,0
275,4,2,256,314,100,100,0
276,4,2,256,314,100,100,0
277,4,2,256,314,100,100,0
278,4,2,256,314,100,100,0
279,4,2,256,314,100,100,0
280,4,2,256,314,100,100,0
281,4,2,256,314,100,100,0
282,4,2,256,314,100,100,0
283,4,2,256,314,100,100,0
284,4,2,256,314,100,100,0
285,4,2,256,314,100,100,0
286,4,2,256,314,100,100,0
287,4,2,256,314,100,100,0
288,4,2,256,314,100,100,0
289,4,2,256,314,100,100,0
290,4,2,256,314,100,100,0
291,4,2,256,314,100,100,0
292,4,2,256,314,100,100,0
293,4,2,256,314,100,100,0
294,4,2,256,314,100,100,0
295,4,2,256,314,100,100,0
296,4,2,256,314,100,100,0
297,4,2,256,314,100,100,0
298,4,2,256,314,100,100,0
299,4,2,256,314,100,100,0
300,4,2,256,314,100,100,0
301,4,2,256,314,100,100,0
302,4,2,256,314,100,100,0
303,4,2,256,314,100,100,0
304,4,2,256,314,100,100,0
305,4,2,256,314,100,100,0
306,4,2,256,314,100,100,0
307,4,2,256,314,100,100,0
308,4,2,256,314,100,100,0
309,4,2,256,314,100,100,0
310,4,2,256,314,100,100,0
311,4,2,256,314,100,100,0
312,4,2,256,314,100,100,0
313,4,2,256,314,100,100,0
314,4,2,256,314,100,100,0
315,4,2,256,314,100,100,0
316,4,2,256,314,100,100,0
317,4,2,256,314,100,100,0
318,4,2,256,314,100,100,0
319,4,2,256,314,100,100,0
320,4,2,256,314,100,100,0
321,4,2,256,314,100,100,0
322,4,2,256,314,100,100,0
323,4,2,256,314,100,100,0
324,4,2,256,314,100,100,0
325,4,2,256,314,100,100,0
326,4,2,256,314,100,100,0
327,4,2,256,314,100,100,0
328,4,2,256,314,100,100,0
329,4,2,256,314,100,100,0
330,4,2,256,314,100,100,0
