sample,duration_ns,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies
280,5200,4,2,256,314,100,100
281,5100,4,2,256,314,100,100
282,5200,4,2,256,314,100,100
283,5100,4,2,256,314,100,100
284,5100,4,2,256,314,100,100
285,5100,4,2,256,314,100,100
286,5100,4,2,256,314,100,100
287,5200,4,2,256,314,100,100
288,5200,4,2,256,314,100,100
289,5100,4,2,256,314,100,100
290,5100,4,2,256,314,100,100
291,5100,4,2,256,314,100,100
292,5200,4,2,256,314,100,100
293,5100,4,2,256,314,100,100
294,5100,4,2,256,314,100,100
295,5100,4,2,256,314,100,100
296,5200,4,2,256,314,100,100
297,5100,4,2,256,314,100,100
298,5200,4,2,256,314,100,100
299,5200,4,2,256,314,100,100
300,5200,4,2,256,314,100,100
301,5100,4,2,256,314,100,100
302,5100,4,2,256,314,100,100
303,5100,4,2,256,314,100,100
304,5100,4,2,256,314,100,100
305,5100,4,2,256,314,100,100
306,5200,4,2,256,314,100,100
307,5200,4,2,256,314,100,100
308,5200,4,2,256,314,100,100
309,5100,4,2,256,314,100,100
310,5100,4,2,256,314,100,100
311,5100,4,2,256,314,100,100
312,5100,4,2,256,314,100,100
313,5100,4,2,256,314,100,100
314,5200,4,2,256,314,100,100
315,5100,4,2,256,314,100,100
316,5100,4,2,256,314,100,100
317,5100,4,2,256,314,100,100
318,5100,4,2,256,314,100,100
319,5200,4,2,256,314,100,100
320,5200,4,2,256,314,100,100
321,5100,4,2,256,314,100,100
322,5200,4,2,256,314,100,100
323,5100,4,2,256,314,100,100
324,5100,4,2,256,314,100,100
325,5000,4,2,256,314,100,100
326,5200,4,2,256,314,100,100
327,5100,4,2,256,314,100,100
328,5100,4,2,256,314,100,100
329,5000,4,2,256,314,100,100
330,5100,4,2,256,314,100,100
331,5100,4,2,256,314,100,100
332,5200,4,2,256,314,100,100
333,5100,4,2,256,314,100,100
334,5200,4,2,256,314,100,100
335,5100,4,2,256,314,100,100
336,5200,4,2,256,314,100,100
337,8000,4,2,256,314,100,100
338,8100,4,2,256,314,100,100
339,8100,4,2,256,314,100,100
340,8100,4,2,256,314,100,100
341,8200,4,2,256,314,100,100
342,6700,4,2,256,314,100,100
343,7500,4,2,256,314,100,100
344,9500,4,2,256,314,100,100
345,8900,4,2,256,314,100,100
346,8300,4,2,256,314,100,100
347,8100,4,2,256,314,100,100
348,8300,4,2,256,314,100,100
349,8400,4,2,256,314,100,100
350,5900,4,2,256,314,100,100
351,5200,4,2,256,314,100,100
352,5300,4,2,256,314,100,100
353,5200,4,2,256,314,100,100
354,5100,4,2,256,314,100,100
355,5100,4,2,256,314,100,100
356,5200,4,2,256,314,100,100
357,5300,4,2,256,314,100,100
358,5200,4,2,256,314,100,100
359,5200,4,2,256,314,100,100
360,5300,4,2,256,314,100,100
361,5200,4,2,256,314,100,100
362,5200,4,2,256,314,100,100
363,5100,4,2,256,314,100,100
364,5100,4,2,256,314,100,100
365,5200,4,2,256,314,100,100
366,5100,4,2,256,314,100,100
367,5100,4,2,256,314,100,100
368,5200,4,2,256,314,100,100
369,5200,4,2,256,314,100,100
370,5200,4,2,256,314,100,100
371,5100,4,2,256,314,100,100
372,5200,4,2,256,314,100,100
373,5200,4,2,256,314,100,100
374,5100,4,2,256,314,100,100
375,5100,4,2,256,314,100,100
376,5200,4,2,256,314,100,100
377,5100,4,2,256,314,100,100
378,5100,4,2,256,314,100,100
379,5100,4,2,256,314,100,100
380,5100,4,2,256,314,100,100
381,5200,4,2,256,314,100,100
382,5100,4,2,256,314,100,100
383,5200,4,2,256,314,100,100
384,5200,4,2,256,314,100,100
385,5200,4,2,256,314,100,100
386,5200,4,2,256,314,100,100
387,5100,4,2,256,314,100,100
388,5100,4,2,256,314,100,100
389,5000,4,2,256,314,100,100
390,5100,4,2,256,314,100,100
391,5000,4,2,256,314,100,100
392,5200,4,2,256,314,100,100
393,5100,4,2,256,314,100,100
394,5100,4,2,256,314,100,100
395,5100,4,2,256,314,100,100
396,5200,4,2,256,314,100,100
397,5100,4,2,256,314,100,100
398,5100,4,2,256,314,100,100
399,5100,4,2,256,314,100,100
400,5100,4,2,256,314,100,100
401,5100,4,2,256,314,100,100
402,5200,4,2,256,314,100,100
403,5200,4,2,256,314,100,100
404,5100,4,2,256,314,100,100
405,5200,4,2,256,314,100,100
406,5100,4,2,256,314,100,100
407,5100,4,2,256,314,100,100
408,5200,4,2,256,314,100,100
409,5300,4,2,256,314,100,100
410,5200,4,2,256,314,100,100
411,5000,4,2,256,314,100,100
412,5100,4,2,256,314,100,100
413,5100,4,2,256,314,100,100
414,5100,4,2,256,314,100,100
415,5100,4,2,256,314,100,100
416,5200,4,2,256,314,100,100
417,5200,4,2,256,314,100,100
418,5100,4,2,256,314,100,100
419,5100,4,2,256,314,100,100
420,5100,4,2,256,314,100,100
421,5200,4,2,256,314,100,100
422,5200,4,2,256,314,100,100
423,5100,4,2,256,314,100,100
424,5200,4,2,256,314,100,100
425,5100,4,2,256,314,100,100
426,5100,4,2,256,314,100,100
427,5200,4,2,256,314,100,100
428,5100,4,2,256,314,100,100
429,5100,4,2,256,314,100,100
430,5200,4,2,256,314,100,100
