sample,allocations,bytes_requested,bytes_committed,overflow_blocks,bytes_per_epoch,retained_epochs
361,2,5600,0,0,65536,16
362,2,5600,0,0,65536,16
363,2,5600,0,0,65536,16
364,2,5600,0,0,65536,16
365,2,5600,0,0,65536,16
366,2,5600,0,0,65536,16
367,2,5600,0,0,65536,16
368,2,5600,0,0,65536,16
369,2,5600,0,0,65536,16
370,2,5600,0,0,65536,16
371,2,5600,0,0,65536,16
372,2,5600,0,0,65536,16
373,2,5600,0,0,65536,16
374,2,5600,0,0,65536,16
375,2,5600,0,0,65536,16
376,2,5600,0,0,65536,16
377,2,5600,0,0,65536,16
378,2,5600,0,0,65536,16
379,2,5600,0,0,65536,16
380,2,5600,0,0,65536,16
381,2,5600,0,0,65536,16
382,2,5600,0,0,65536,16
383,2,5600,0,0,65536,16
384,2,5600,0,0,65536,16
385,2,5600,0,0,65536,16
386,2,5600,0,0,65536,16
387,2,5600,0,0,65536,16
388,2,5600,0,0,65536,16
389,2,5600,0,0,65536,16
390,2,5600,0,0,65536,16
391,2,5600,0,0,65536,16
392,2,5600,0,0,65536,16
393,2,5600,0,0,65536,16
394,2,5600,0,0,65536,16
395,2,5600,0,0,65536,16
396,2,5600,0,0,65536,16
397,2,5600,0,0,65536,16
398,2,5600,0,0,65536,16
399,2,5600,0,0,65536,16
400,2,5600,0,0,65536,16
401,2,5600,0,0,65536,16
402,2,5600,0,0,65536,16
403,2,5600,0,0,65536,16
404,2,5600,0,0,65536,16
405,2,5600,0,0,65536,16
406,2,5600,0,0,65536,16
407,2,5600,0,0,65536,16
408,2,5600,0,0,65536,16
409,2,5600,0,0,65536,16
410,2,5600,0,0,65536,16
411,2,5600,0,0,65536,16
412,2,5600,0,0,65536,16
413,2,5600,0,0,65536,16
414,2,5600,0,0,65536,16
415,2,5600,0,0,65536,16
416,2,5600,0,0,65536,16
417,2,5600,0,0,65536,16
418,2,5600,0,0,65536,16
419,2,5600,0,0,65536,16
420,2,5600,0,0,65536,16
421,2,5600,0,0,65536,16
422,2,5600,0,0,65536,16
423,2,5600,0,0,65536,16
424,2,5600,0,0,65536,16
425,2,5600,0,0,65536,16
426,2,5600,0,0,65536,16
427,2,5600,0,0,65536,16
428,2,5600,0,0,65536,16
429,2,5600,0,0,65536,16
430,2,5600,0,0,65536,16
431,2,5600,0,0,65536,16
432,2,5600,0,0,65536,16
433,2,5600,0,0,65536,16
434,2,5600,0,0,65536,16
435,2,5600,0,0,65536,16
436,2,5600,0,0,65536,16
437,2,5600,0,0,65536,16
438,2,5600,0,0,65536,16
439,2,5600,0,0,65536,16
440,2,5600,0,0,65536,16
441,2,5600,0,0,65536,16
442,2,5600,0,0,65536,16
443,2,5600,0,0,65536,16
444,2,5600,0,0,65536,16
445,2,5600,0,0,65536,16
446,2,5600,0,0,65536,16
447,2,5600,0,0,65536,16
448,2,5600,0,0,65536,16
449,2,5600,0,0,65536,16
450,2,5600,0,0,65536,16
451,2,5600,0,0,65536,16
452,2,5600,0,0,65536,16
453,2,5600,0,0,65536,16
454,2,5600,0,0,65536,16
455,2,5600,0,0,65536,16
456,2,5600,0,0,65536,16
457,2,5600,0,0,65536,16
458,2,5600,0,0,65536,16
459,2,5600,0,0,65536,16
460,2,5600,0,0,65536,16
461,2,5600,0,0,65536,16
462,2,5600,0,0,65536,16
463,2,5600,0,0,65536,16
464,2,5600,0,0,65536,16
465,2,5600,0,0,65536,16
466,2,5600,0,0,65536,16
467,2,5600,0,0,65536,16
468,2,5600,0,0,65536,16
469,2,5600,0,0,65536,16
470,2,5600,0,0,65536,16
471,2,5600,0,0,65536,16
472,2,5600,0,0,65536,16
473,2,5600,0,0,65536,16
474,2,5600,0,0,65536,16
475,2,5600,0,0,65536,16
476,2,5600,0,0,65536,16
477,2,5600,0,0,65536,16
478,2,5600,0,0,65536,16
479,2,5600,0,0,65536,16
480,2,5600,0,0,65536,16
481,2,5600,0,0,65536,16
482,2,5600,0,0,65536,16
483,2,5600,0,0,65536,16
484,2,5600,0,0,65536,16
485,2,5600,0,0,65536,16
486,2,5600,0,0,65536,16
487,2,5600,0,0,65536,16
488,2,5600,0,0,65536,16
489,2,5600,0,0,65536,16
490,2,5600,0,0,65536,16
491,2,5600,0,0,65536,16
492,2,5600,0,0,65536,16
493,2,5600,0,0,65536,16
494,2,5600,0,0,65536,16
495,2,5600,0,0,65536,16
496,2,5600,0,0,65536,16
497,2,5600,0,0,65536,16
498,2,5600,0,0,65536,16
499,2,5600,0,0,65536,16
500,2,5600,0,0,65536,16
501,2,5600,0,0,65536,16
502,2,5600,0,0,65536,16
503,2,5600,0,0,65536,16
504,2,5600,0,0,65536,16
505,2,5600,0,0,65536,16
506,2,5600,0,0,65536,16
507,2,5600,0,0,65536,16
508,2,5600,0,0,65536,16
509,2,5600,0,0,65536,16
510,2,5600,0,0,65536,16
511,2,5600,0,0,65536,16
512,2,5600,0,0,65536,16
513,2,5600,0,0,65536,16
514,2,5600,0,0,65536,16
515,2,5600,0,0,65536,16
516,2,5600,0,0,65536,16
517,2,5600,0,0,65536,16
518,2,5600,0,0,65536,16
519,2,5600,0,0,65536,16
520,2,5600,0,0,65536,16
521,2,5600,0,0,65536,16
522,2,5600,0,0,65536,16
523,2,5600,0,0,65536,16
524,2,5600,0,0,65536,16
525,2,5600,0,0,65536,16
526,2,5600,0,0,65536,16
527,2,5600,0,0,65536,16
528,2,5600,0,0,65536,16
529,2,5600,0,0,65536,16
530,2,5600,0,0,65536,16
531,2,5600,0,0,65536,16
532,2,5600,0,0,65536,16
533,2,5600,0,0,65536,16
534,2,5600,0,0,65536,16
535,2,5600,0,0,65536,16
536,2,5600,0,0,65536,16
537,2,5600,0,0,65536,16
538,2,5600,0,0,65536,16
539,2,5600,0,0,65536,16
540,2,5600,0,0,65536,16
541,2,5600,0,0,65536,16
542,2,5600,0,0,65536,16
543,2,5600,0,0,65536,16
544,2,5600,0,0,65536,16
545,2,5600,0,0,65536,16
546,2,5600,0,0,65536,16
547,2,5600,0,0,65536,16
548,2,5600,0,0,65536,16
549,2,5600,0,0,65536,16
550,2,5600,0,0,65536,16
551,2,5600,0,0,65536,16
552,2,5600,0,0,65536,16
553,2,5600,0,0,65536,16
554,2,5600,0,0,65536,16
555,2,5600,0,0,65536,16
556,2,5600,0,0,65536,16
557,2,5600,0,0,65536,16
558,2,5600,0,0,65536,16
559,2,5600,0,0,65536,16
560,2,5600,0,0,65536,16
561,2,5600,0,0,65536,16
562,2,5600,0,0,65536,16
563,2,5600,0,0,65536,16
564,2,5600,0,0,65536,16
565,2,5600,0,0,65536,16
566,2,5600,0,0,65536,16
567,2,5600,0,0,65536,16
568,2,5600,0,0,65536,16
569,2,5600,0,0,65536,16
570,2,5600,0,0,65536,16
571,2,5600,0,0,65536,16
572,2,5600,0,0,65536,16
573,2,5600,0,0,65536,16
574,2,5600,0,0,65536,16
575,2,5600,0,0,65536,16
576,2,5600,0,0,65536,16
577,2,5600,0,0,65536,16
578,2,5600,0,0,65536,16
579,2,5600,0,0,65536,16
580,2,5600,0,0,65536,16
581,2,5600,0,0,65536,16
582,2,5600,0,0,65536,16
583,2,5600,0,0,65536,16
584,2,5600,0,0,65536,16
585,2,5600,0,0,65536,16
586,2,5600,0,0,65536,16
587,2,5600,0,0,65536,16
588,2,5600,0,0,65536,16
589,2,5600,0,0,65536,16
590,2,5600,0,0,65536,16
591,2,5600,0,0,65536,16
592,2,5600,0,0,65536,16
593,2,5600,0,0,65536,16
594,2,5600,0,0,65536,16
595,2,5600,0,0,65536,16
596,2,5600,0,0,65536,16
597,2,5600,0,0,65536,16
598,2,5600,0,0,65536,16
599,2,5600,0,0,65536,16
600,2,5600,0,0,65536,16
601,2,5600,0,0,65536,16
602,2,5600,0,0,65536,16
603,2,5600,0,0,65536,16
604,2,5600,0,0,65536,16
605,2,5600,0,0,65536,16
606,2,5600,0,0,65536,16
607,2,5600,0,0,65536,16
608,2,5600,0,0,65536,16
609,2,5600,0,0,65536,16
610,2,5600,0,0,65536,16
611,2,5600,0,0,65536,16
612,2,5600,0,0,65536,16
613,2,5600,0,0,65536,16
614,2,5600,0,0,65536,16
615,2,5600,0,0,65536,16
616,2,5600,0,0,65536,16
617,2,5600,0,0,65536,16
618,2,5600,0,0,65536,16
619,2,5600,0,0,65536,16
620,2,5600,0,0,65536,16
621,2,5600,0,0,65536,16
622,2,5600,0,0,65536,16
623,2,5600,0,0,65536,16
624,2,5600,0,0,65536,16
625,2,5600,0,0,65536,16
626,2,5600,0,0,65536,16
627,2,5600,0,0,65536,16
628,2,5600,0,0,65536,16
629,2,5600,0,0,65536,16
630,2,5600,0,0,65536,16
631,2,5600,0,0,65536,16
632,2,5600,0,0,65536,16
633,2,5600,0,0,65536,16
634,2,5600,0,0,65536,16
635,2,5600,0,0,65536,16
636,2,5600,0,0,65536,16
637,2,5600,0,0,65536,16
638,2,5600,0,0,65536,16
639,2,5600,0,0,65536,16
640,2,5600,0,0,65536,16
641,2,5600,0,0,65536,16
642,2,5600,0,0,65536,16
643,2,5600,0,0,65536,16
644,2,5600,0,0,65536,16
645,2,5600,0,0,65536,16
646,2,5600,0,0,65536,16
647,2,5600,0,0,65536,16
648,2,5600,0,0,65536,16
649,2,5600,0,0,65536,16
650,2,5600,0,0,65536,16
651,2,5600,0,0,65536,16
652,2,5600,0,0,65536,16
653,2,5600,0,0,65536,16
654,2,5600,0,0,65536,16
655,2,5600,0,0,65536,16
656,2,5600,0,0,65536,16
657,2,5600,0,0,65536,16
658,2,5600,0,0,65536,16
659,2,5600,0,0,65536,16
660,2,5600,0,0,65536,16
661,2,5600,0,0,65536,16
662,2,5600,0,0,65536,16
663,2,5600,0,0,65536,16
664,2,5600,0,0,65536,16
665,2,5600,0,0,65536,16
666,2,5600,0,0,65536,16
667,2,5600,0,0,65536,16
668,2,5600,0,0,65536,16
669,2,5600,0,0,65536,16
670,2,5600,0,0,65536,16
671,2,5600,0,0,65536,16
672,2,5600,0,0,65536,16
673,2,5600,0,0,65536,16
674,2,5600,0,0,65536,16
675,2,5600,0,0,65536,16
676,2,5600,0,0,65536,16
677,2,5600,0,0,65536,16
678,2,5600,0,0,65536,16
679,2,5600,0,0,65536,16
680,2,5600,0,0,65536,16
681,2,5600,0,0,65536,16
682,2,5600,0,0,65536,16
683,2,5600,0,0,65536,16
684,2,5600,0,0,65536,16
685,2,5600,0,0,65536,16
686,2,5600,0,0,65536,16
687,2,5600,0,0,65536,16
688,2,5600,0,0,65536,16
689,2,5600,0,0,65536,16
690,2,5600,0,0,65536,16
691,2,5600,0,0,65536,16
692,2,5600,0,0,65536,16
693,2,5600,0,0,65536,16
694,2,5600,0,0,65536,16
695,2,5600,0,0,65536,16
696,2,5600,0,0,65536,16
697,2,5600,0,0,65536,16
698,2,5600,0,0,65536,16
699,2,5600,0,0,65536,16
700,2,5600,0,0,65536,16
701,2,5600,0,0,65536,16
702,2,5600,0,0,65536,16
703,2,5600,0,0,65536,16
704,2,5600,0,0,65536,16
705,2,5600,0,0,65536,16
706,2,5600,0,0,65536,16
707,2,5600,0,0,65536,16
708,2,5600,0,0,65536,16
709,2,5600,0,0,65536,16
710,2,5600,0,0,65536,16
711,2,5600,0,0,65536,16
712,2,5600,0,0,65536,16
713,2,5600,0,0,65536,16
714,2,5600,0,0,65536,16
715,2,5600,0,0,65536,16
716,2,5600,0,0,65536,16
717,2,5600,0,0,65536,16
718,2,5600,0,0,65536,16
719,2,5600,0,0,65536,16
720,2,5600,0,0,65536,16
721,2,5600,0,0,65536,16
722,2,5600,0,0,65536,16
723,2,5600,0,0,65536,16
