sample,probe_calibrated,cpp_heap_allocations,cpp_heap_bytes
472,1,21,28246
473,1,21,28246
474,1,21,28246
475,1,21,28246
476,1,21,28246
477,1,21,28246
478,1,21,28246
479,1,21,28246
480,1,21,28246
481,1,21,28246
482,1,21,28246
483,1,21,28246
484,1,21,28246
485,1,21,28246
486,1,21,28246
487,1,21,28246
488,1,21,28246
489,1,21,28246
490,1,21,28246
491,1,21,28246
492,1,21,28246
493,1,21,28246
494,1,21,28246
495,1,21,28246
496,1,21,28246
497,1,21,28246
498,1,21,28246
499,1,21,28246
500,1,21,28246
501,1,21,28246
502,1,21,28246
503,1,21,28246
504,1,21,28246
505,1,21,28246
506,1,21,28246
507,1,21,28246
508,1,21,28246
509,1,21,28246
510,1,21,28246
511,1,21,28246
512,1,21,28246
513,1,21,28246
514,1,21,28246
515,1,21,28246
516,1,21,28246
517,1,21,28246
518,1,21,28246
519,1,21,28246
520,1,21,28246
521,1,21,28246
522,1,21,28246
523,1,21,28246
524,1,21,28246
525,1,21,28246
526,1,21,28246
527,1,21,28246
528,1,21,28246
529,1,21,28246
530,1,21,28246
531,1,21,28246
532,1,21,28246
533,1,21,28246
534,1,21,28246
535,1,21,28246
536,1,21,28246
537,1,21,28246
538,1,21,28246
539,1,21,28246
540,1,21,28246
541,1,21,28246
542,1,21,28246
543,1,21,28246
544,1,21,28246
545,1,21,28246
546,1,21,28246
547,1,21,28246
548,1,21,28246
549,1,21,28246
550,1,21,28246
551,1,21,28246
552,1,21,28246
553,1,21,28246
554,1,21,28246
555,1,21,28246
556,1,21,28246
557,1,21,28246
558,1,21,28246
559,1,21,28246
560,1,21,28246
561,1,21,28246
562,1,21,28246
563,1,21,28246
564,1,21,28246
565,1,21,28246
566,1,21,28246
567,1,21,28246
568,1,21,28246
569,1,21,28246
570,1,21,28246
571,1,21,28246
572,1,21,28246
573,1,21,28246
574,1,21,28246
575,1,21,28246
576,1,21,28246
577,1,21,28246
578,1,21,28246
579,1,21,28246
580,1,21,28246
581,1,21,28246
