sample,duration_ns,candidate_bodies_scanned,inactive_bodies_skipped,changed_bodies
480,5200,100,9900,100
481,5100,100,9900,100
482,5100,100,9900,100
483,5100,100,9900,100
484,5200,100,9900,100
485,5100,100,9900,100
486,5200,100,9900,100
487,5200,100,9900,100
488,5000,100,9900,100
489,5100,100,9900,100
490,5100,100,9900,100
491,5100,100,9900,100
492,5100,100,9900,100
493,5200,100,9900,100
494,5200,100,9900,100
495,5100,100,9900,100
496,5000,100,9900,100
497,5100,100,9900,100
498,5200,100,9900,100
499,6400,100,9900,100
500,5200,100,9900,100
501,5200,100,9900,100
502,5200,100,9900,100
503,5100,100,9900,100
504,5300,100,9900,100
505,5100,100,9900,100
506,5300,100,9900,100
507,5000,100,9900,100
508,5200,100,9900,100
509,5100,100,9900,100
510,5200,100,9900,100
511,5100,100,9900,100
512,5200,100,9900,100
513,5100,100,9900,100
514,5200,100,9900,100
515,5100,100,9900,100
516,5100,100,9900,100
517,5100,100,9900,100
518,5200,100,9900,100
519,5100,100,9900,100
520,5100,100,9900,100
521,5000,100,9900,100
522,5100,100,9900,100
523,5100,100,9900,100
524,5200,100,9900,100
525,5100,100,9900,100
526,5200,100,9900,100
527,5100,100,9900,100
528,5200,100,9900,100
529,5100,100,9900,100
530,5200,100,9900,100
531,5100,100,9900,100
532,5100,100,9900,100
533,5300,100,9900,100
534,5200,100,9900,100
535,5100,100,9900,100
536,5200,100,9900,100
537,5200,100,9900,100
538,5200,100,9900,100
539,5100,100,9900,100
540,5300,100,9900,100
541,5100,100,9900,100
542,5200,100,9900,100
543,5100,100,9900,100
544,5200,100,9900,100
545,5000,100,9900,100
546,5200,100,9900,100
547,5100,100,9900,100
548,5200,100,9900,100
549,5000,100,9900,100
550,5200,100,9900,100
551,5100,100,9900,100
552,5200,100,9900,100
553,5100,100,9900,100
554,5200,100,9900,100
555,5100,100,9900,100
556,5100,100,9900,100
557,5100,100,9900,100
558,5200,100,9900,100
559,5100,100,9900,100
560,5200,100,9900,100
561,5000,100,9900,100
562,5100,100,9900,100
563,5200,100,9900,100
564,5100,100,9900,100
565,5100,100,9900,100
566,5200,100,9900,100
567,5000,100,9900,100
568,5200,100,9900,100
569,5200,100,9900,100
570,5100,100,9900,100
571,5100,100,9900,100
572,5100,100,9900,100
573,5100,100,9900,100
574,5200,100,9900,100
575,5200,100,9900,100
576,5200,100,9900,100
577,5200,100,9900,100
578,5300,100,9900,100
579,5100,100,9900,100
580,5200,100,9900,100
581,5100,100,9900,100
582,5100,100,9900,100
583,5100,100,9900,100
584,5200,100,9900,100
585,5100,100,9900,100
586,5200,100,9900,100
587,5200,100,9900,100
588,5200,100,9900,100
589,5200,100,9900,100
590,5200,100,9900,100
591,5100,100,9900,100
592,5200,100,9900,100
593,5100,100,9900,100
594,5200,100,9900,100
595,5100,100,9900,100
596,5100,100,9900,100
597,5200,100,9900,100
598,5200,100,9900,100
599,5200,100,9900,100
600,5200,100,9900,100
601,5100,100,9900,100
602,5200,100,9900,100
603,5200,100,9900,100
604,5100,100,9900,100
605,5100,100,9900,100
606,5100,100,9900,100
607,5100,100,9900,100
608,5100,100,9900,100
609,5100,100,9900,100
610,5200,100,9900,100
611,5100,100,9900,100
612,5100,100,9900,100
613,5100,100,9900,100
614,5100,100,9900,100
615,5100,100,9900,100
616,5100,100,9900,100
617,5000,100,9900,100
618,5100,100,9900,100
619,5100,100,9900,100
620,5100,100,9900,100
621,5100,100,9900,100
622,5200,100,9900,100
623,5100,100,9900,100
624,5200,100,9900,100
625,5200,100,9900,100
626,5100,100,9900,100
627,5100,100,9900,100
628,5200,100,9900,100
629,5100,100,9900,100
630,5100,100,9900,100
631,5100,100,9900,100
632,5100,100,9900,100
633,5200,100,9900,100
634,5100,100,9900,100
635,5100,100,9900,100
636,5200,100,9900,100
637,5000,100,9900,100
638,5200,100,9900,100
639,5100,100,9900,100
640,5100,100,9900,100
641,5100,100,9900,100
642,5200,100,9900,100
643,5100,100,9900,100
644,5100,100,9900,100
645,5200,100,9900,100
646,5200,100,9900,100
647,5300,100,9900,100
648,5200,100,9900,100
649,5100,100,9900,100
650,5100,100,9900,100
651,5200,100,9900,100
652,5200,100,9900,100
653,5100,100,9900,100
654,5100,100,9900,100
655,5100,100,9900,100
656,5200,100,9900,100
657,5100,100,9900,100
658,5200,100,9900,100
659,5100,100,9900,100
660,5200,100,9900,100
661,5100,100,9900,100
662,5100,100,9900,100
663,5100,100,9900,100
664,5200,100,9900,100
665,5000,100,9900,100
666,5100,100,9900,100
667,5100,100,9900,100
668,5100,100,9900,100
669,5100,100,9900,100
670,5100,100,9900,100
671,5000,100,9900,100
672,5200,100,9900,100
673,5200,100,9900,100
674,5200,100,9900,100
675,5100,100,9900,100
676,5000,100,9900,100
677,5100,100,9900,100
678,5200,100,9900,100
679,5000,100,9900,100
680,5100,100,9900,100
681,5000,100,9900,100
682,5100,100,9900,100
683,5200,100,9900,100
684,5200,100,9900,100
685,5100,100,9900,100
686,5200,100,9900,100
687,5200,100,9900,100
688,5200,100,9900,100
689,5100,100,9900,100
690,5100,100,9900,100
691,5100,100,9900,100
692,5100,100,9900,100
693,5100,100,9900,100
694,5100,100,9900,100
695,5100,100,9900,100
696,5100,100,9900,100
697,5100,100,9900,100
698,5200,100,9900,100
699,5100,100,9900,100
700,5200,100,9900,100
701,5100,100,9900,100
702,5200,100,9900,100
703,5200,100,9900,100
704,5100,100,9900,100
705,5100,100,9900,100
706,5100,100,9900,100
707,5200,100,9900,100
708,5100,100,9900,100
709,5100,100,9900,100
710,5100,100,9900,100
711,5100,100,9900,100
712,5200,100,9900,100
713,5100,100,9900,100
714,5100,100,9900,100
715,5000,100,9900,100
716,5200,100,9900,100
717,5100,100,9900,100
718,5200,100,9900,100
719,5100,100,9900,100
720,5200,100,9900,100
721,5100,100,9900,100
722,5300,100,9900,100
723,5000,100,9900,100
724,5100,100,9900,100
725,5100,100,9900,100
726,5100,100,9900,100
727,5200,100,9900,100
728,5300,100,9900,100
729,5000,100,9900,100
730,5200,100,9900,100
731,5100,100,9900,100
732,5100,100,9900,100
733,5100,100,9900,100
734,5100,100,9900,100
735,5000,100,9900,100
736,5200,100,9900,100
737,5100,100,9900,100
738,5100,100,9900,100
739,5200,100,9900,100
740,5200,100,9900,100
741,5100,100,9900,100
742,5200,100,9900,100
743,5100,100,9900,100
744,5200,100,9900,100
745,5000,100,9900,100
746,5100,100,9900,100
747,5100,100,9900,100
748,5200,100,9900,100
749,5100,100,9900,100
750,5200,100,9900,100
751,5100,100,9900,100
752,5100,100,9900,100
753,5100,100,9900,100
754,5200,100,9900,100
755,5100,100,9900,100
756,5200,100,9900,100
757,5100,100,9900,100
758,5200,100,9900,100
759,5100,100,9900,100
760,5200,100,9900,100
761,5200,100,9900,100
762,5100,100,9900,100
763,5000,100,9900,100
764,5200,100,9900,100
765,5000,100,9900,100
766,5100,100,9900,100
767,5100,100,9900,100
768,5200,100,9900,100
769,5100,100,9900,100
770,5100,100,9900,100
771,5100,100,9900,100
772,5200,100,9900,100
773,5100,100,9900,100
774,5100,100,9900,100
775,5100,100,9900,100
776,5200,100,9900,100
777,5200,100,9900,100
778,5100,100,9900,100
779,5100,100,9900,100
780,5200,100,9900,100
781,5100,100,9900,100
782,5200,100,9900,100
783,5100,100,9900,100
784,5100,100,9900,100
785,5100,100,9900,100
